HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Add support for deployment properties As a s c d developer, I'd like to provide optional key value pairs as deployment properties, so I could leverage them at the runtime to instruct how the modules will be deployed. The scope of this story is to specifically support instances of modules that share the same environment variables. ",XD-3430,
"Use mocks in shell tests Instead of using real moduleDeployer , try using mocks so that the module deployer downloading the maven co ordinates from repo can be avoided for module deployment case . Since module deployer and controllers are tested individually, it would be good to focus on shell functionality only for the shell tests.",XD-3431,
"Update documentation for module launcher The document requires update for running it on standalone, docker, lattice. Also, the docker compose yml requires fix so that modules in there are bound together.",XD-3432,
Create a spring cloud stream timestamp task module Create a timestamp job that will be used a a sample for users to create their own spring boot based jobs. ,XD-3436,
Add BatchMbeanExporter for batch modules ,XD-344,
"Create gh pages for s c d and s c s m repos As a s c d developer, I'd like to setup branch for s c d and s c s m repos, so I can start pushing documentation with PR commits.",XD-3444,
"Fix Kafka Binder for s c s modules As a s c s developer, I'd like to fix the binder, so I can create messaging microservices apps and successfully bind them to an operational Kafka broker. ",XD-3445,
"Document s c d architecture and deployment variants As a s c d developer, I'd like to produce ref. documentation for s c d architecture, so I could define 1.x and 2.x deployment differences. ",XD-3447,
Replace gardenhose doc with new twitterstream ,XD-345,
"Deploy multiple instances of a module Currently we deploy a single instance, and ignore the instances setting. It is easy to change this in the ModuleDeployer, but there is no guarantee this will work in the ModuleLauncher, so we hold off until that can be verified.",XD-3450,
Correctly report state of module instances Currently only the STARTED application and application instance status is recognised. This issue will look at the other possible states and report them as module instance states. This would be trivial if we knew what the possible states might be and how we should interpret them for module instance state.,XD-3451,
"Handle paginated responses Currently we handle only a single page response from CC SPI list requests, but potentially there could be multiple ones.",XD-3452,
"Speed Upload of module launcher bits is slow because we do not take into account the CC cache. To fix this we need to use an async upload, and to somehow generate the SHA, etc, for the Module Launcher so that CC can pre empt uploading all the bits every time.",XD-3453,
"Add RxJava processor module As a module author, I would like to apply RxJava processor module with spring cloud stream. ",XD-3454,
Create infrastructure for Spring cloud task modules Create Parent pom file for build Create .settings file Migrate Timestamp task from SCSM to SCTM. ,XD-3456,
Create CI Build for SCTM ,XD-3458,
Remove in yml files. Need to make define version during a build and allow to override location of those files.,XD-3461,
"Create a new banner for As a s c d user, I'd like to create a new banner, so I can embed and display the banner when the shell server boots up. Perhaps use this banner generator ",XD-3462,
"Complete Running on Cloud Foundry section in README As a s c d developer, I'd like to document Running on Cloud Foundry section in README, so it can be publicly available as deployment guideline.",XD-3463,
"Add hdfs sink to module registry As a s c d developer, I'd like to add hdfs sink to module registry, so I can use this module to build streaming pipeline and write to Hadoop.",XD-3466,
"Improve resilience of route creation removal The CF implementation requires that a route be created for each new app. This works fine on the happy path, but is brittle. For example, it will fail if the route required already exists.",XD-3471,
"Spike Investigate options for composed jobs repository As a XD developer, I'd like to explore repository options for composed jobs , so I have the leverage to read write composed job definitions.",XD-3478,
"Orchestrate job composition As a XD user, I'd like to orchestrate composed jobs, so I can bring multiple jobs into single workflow and operationalize.",XD-3479,
Trigger Add support for fixed delay interval,XD-348,
"Bind message properties to modules As a s c s developer, I'd like to support XD like features where modules bind to incoming messages via expressions or other mechanism, so I can bind message properties to every microservice modules. ",XD-3481,
"Port JDBC as s c s sink As a s c s m developer, I'd like to move to build streaming pipeline. See also XD 2250",XD-3482,
"Port Kafka as s c s source As a s c d developer, I'd like to move to build streaming pipeline.",XD-3483,
"Port Kafka as s c s sink As a s c d developer, I'd like to move to build streaming pipeline.",XD-3484,
"Port Rabbit as s c s sink As a s c d developer, I'd like to move to build streaming pipeline.",XD-3485,
"Spike Study support for different binder types for module channels As a s c d developer, I'd like to add support for having different binder types for module s channels, so I can plug as the source or sink to read and write respectively.",XD-3486,
"Add property override support for modules via external config file As a s c d developer, I'd like to pass any overrides via external config file, so I can influence and override the default module configurations. ex module resolution from a different maven coordinate . ",XD-3487,
"Refactor CF SPI with CF java client library As a s c d developer, I'd like to refactor CC SPI deployer with CF java client, so I can improve the overall design and performance. ",XD-3488,
